fecha,hora,latitud,longitud,profundidad,magnitud,intensidad,referencia,reporte_acelerometrico_pdf
,,-11.88,-76.32,12,4,"III Matucana; II-III Tamboraque; II Chosica, San Mateo",9 km  Este-SE de Matucana-Lima,
,,-11.9,-76.32,12,4.3,"III-IV Matucana, Tamboraque; III San Mateo, Chosica; II Lima, Canta, Yangas",10 km al SE de Matucana-Lima,
,,-11.85,-76.3,11,3.6,"II-III Matucana, Tamboraque",10 km al Este de Matucana,
,,-11.91,-76.33,10,3.5,II Matucana,11 km al Sur-Este de Matucana,
,,-10.29,-78.62,46,4.3,II Huarmey,57 km al Oeste-SO de Huarmey,
,,-11.91,-76.33,14,3.8,III Matucana; II Tamboraque,10 km Sur-Este de Matucana,
,,-11.41,-75.98,105,4.3,II La Oroya,16 km NO de La Oroya-Junin,
,,-14.4,-74.39,6,3.1,II Pampamarca,5  km al SO de Pampamarca-Ayacucho,
,,-14.54,-73.53,7,3.4,II Pampamarca,4 km al NE de Pampamarca-Ayacucho,
,,-15.63,-71.74,8,3.5,II Maca,4 km al Este-NE de Maca,
