ANIO;NOM_MES;NOM_DPTO;COD_TIPO;TOTAL_PAGANTES
2007;Setiembre;Cusco;1;10
2007;Setiembre;Cusco;2;12
2007;Octubre;Cusco;0;47
2007;Octubre;Cusco;1;132
2007;Octubre;Cusco;2;179
2007;Noviembre;Cusco;0;13
2007;Noviembre;Cusco;1;22
2007;Noviembre;Cusco;2;35
2007;Diciembre;Cusco;0;4
2007;Diciembre;Cusco;1;1
2007;Diciembre;Cusco;2;5
2007;Enero;Cusco;0;7,175
2007;Enero;Cusco;1;34,061
2007;Enero;Cusco;2;41,236
2007;Febrero;Cusco;0;5,797
2007;Febrero;Cusco;1;31,580
2007;Febrero;Cusco;2;37,377
2007;Marzo;Cusco;0;4,427
2007;Marzo;Cusco;1;36,230
2007;Marzo;Cusco;2;40,657
2007;Abril;Cusco;0;5,759
2007;Abril;Cusco;1;38,489
2007;Abril;Cusco;2;44,248
2007;Mayo;Cusco;0;6,438
2007;Mayo;Cusco;1;39,030
2007;Mayo;Cusco;2;45,468
2007;Junio;Cusco;0;6,555
2007;Junio;Cusco;1;37,825
2007;Junio;Cusco;2;44,380
2007;Julio;Cusco;0;6,057
2007;Julio;Cusco;1;53,571
2007;Julio;Cusco;2;59,628
2007;Agosto;Cusco;0;15,502
2007;Agosto;Cusco;1;57,234
2007;Agosto;Cusco;2;72,736
2007;Setiembre;Cusco;0;9,246
2007;Setiembre;Cusco;1;40,653
2007;Setiembre;Cusco;2;49,899
2007;Octubre;Cusco;0;19,550
2007;Octubre;Cusco;1;45,520
2007;Octubre;Cusco;2;65,070
2007;Noviembre;Cusco;0;14,526
2007;Noviembre;Cusco;1;40,319
2007;Noviembre;Cusco;2;54,845
2007;Diciembre;Cusco;0;8,770
2007;Diciembre;Cusco;1;28,305
2007;Diciembre;Cusco;2;37,075
2007;Enero;Huanuco;0;6
2007;Enero;Huanuco;1;0
2007;Enero;Huanuco;2;6
2007;Febrero;Huanuco;0;7
2007;Febrero;Huanuco;1;0
2007;Febrero;Huanuco;2;7
2007;Marzo;Huanuco;0;10
2007;Marzo;Huanuco;1;0
2007;Marzo;Huanuco;2;10
2007;Abril;Huanuco;0;32
2007;Abril;Huanuco;1;0
2007;Abril;Huanuco;2;32
2007;Mayo;Huanuco;0;7
2007;Mayo;Huanuco;1;0
2007;Mayo;Huanuco;2;7
2007;Junio;Huanuco;0;18
2007;Junio;Huanuco;1;0
2007;Junio;Huanuco;2;18
2007;Julio;Huanuco;0;6
2007;Julio;Huanuco;1;0
2007;Julio;Huanuco;2;6
2007;Agosto;Huanuco;0;13
2007;Agosto;Huanuco;1;0
2007;Agosto;Huanuco;2;13
2007;Setiembre;Huanuco;0;15
2007;Setiembre;Huanuco;1;1
